city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
ilulissat,69.22,-51.1,17.6,72,100,2.24,GL,1604269770
djibo,14.1,-1.63,83.35,15,0,8.14,BF,1604269770
kirakira,-10.45,161.92,85.1,67,80,8.12,SB,1604269771
mingshui,36.72,117.5,51.01,50,0,2.24,CN,1604269771
mingguang,32.78,117.96,55.8,53,65,5.97,CN,1604269771
kango,0.19,10.1,73.94,96,95,0.31,GA,1604269772
kahului,20.89,-156.47,87.8,55,40,12.75,US,1604269260
laizhou,37.17,119.92,45.21,56,0,2.62,CN,1604269772
najran,17.49,44.13,62.6,29,0,1.68,SA,1604269773
ankang,32.68,109.02,50.95,63,99,0.25,CN,1604269774
gijon,43.54,-5.66,64.0,86,82,1.01,ES,1604269774
boca do acre,-8.75,-67.4,83.25,62,71,2.64,BR,1604269775
moerai,-22.43,-151.33,76.12,86,96,15.97,PF,1604269775
salalah,17.02,54.09,75.2,53,0,4.7,OM,1604269777
cooma,-36.23,149.13,50.0,93,33,8.05,AU,1604269777
lobito,-12.35,13.55,77.09,85,100,3.44,AO,1604269777
atbasar,51.8,68.33,37.49,88,100,6.64,KZ,1604269778
moroni,-11.7,43.26,75.78,71,100,2.91,KM,1604269778
qasigiannguit,68.82,-51.19,17.6,72,100,2.24,GL,1604269778
nong chik,6.84,101.18,77.07,85,100,5.08,TH,1604269779
key largo,25.09,-80.45,82.0,1,33,1.01,US,1604269779
tornio,65.85,24.15,44.6,81,100,16.11,FI,1604269781
kilindoni,-7.91,39.67,78.58,79,33,11.25,TZ,1604269782
khorinsk,52.17,109.77,13.48,92,0,5.17,RU,1604269782
cascavel,-24.96,-53.46,65.91,58,50,4.38,BR,1604269783
dingle,11.0,122.67,75.65,91,99,5.79,PH,1604269784
